no,Tgl_Iklan,url,Harga_juta,Kota_Provinsi,Luas_Tanah,Luas_Bangunan,KT,KM,KTP,KMP,Carport,Garasi,Listrik,Surat,Judul,Deskripsi
1,08/04/2021,https://www.realoka.com/82784-dijual-disewa-rumah-di-citraland-ambon-pr1699,1200,"Ambon, Maluku",135,70,2,2,1,0,1,0,1300,SHM,Dijual Disewa Rumah di Citraland Ambon Pr1699,"Peminat Serius Hubungi:
Ibu Ata
0851-01268003
0817-6882357

Dijual / Disewa Rumah di Citraland Ambon
Lokasi Strategis :
Di dalam Kompleks : Security 24 jam, Sekolah Citra Kasih, ATM Bank, Citraland Waterpark
5 menit dari Mall Ambon City Center
15 menit dari Plan Siloam Hospital
15 menit dari Jembatan Merah Putih
30 menit dari Bandara Pattimura
Furnished : Semi Furnished (1 Spring Bed, 2 Lemari Pakaian, 1 Meja TV, 1 Kulkas 2 pintu, 1 Mesin Cuci, 1 AC, Indovision)

Alamat:
Komplek Citraland, Cluster Rotterdam R2/05, Kel. Lateri, Kec. Baguala, Kota Ambon"
2,04/04/2021,https://www.olx.co.id/item/rumah-di-citraland-ambon-iid-810193886,1110,"Ambon, Maluku",135,70,3,2,0,0,1,0,,SHM,Rumah di Citraland Ambon,"Pemilik langsung, tanpa perantara. Lokasi Strategis : 1). Di dalam Kompleks : Security 24 jam, Sekolah Citra Kasih, ATM Bank, Citraland Waterpark. 2). 5 menit dari Mall Ambon City Center. 3). 15 menit dari Plan Siloam Hospital. 4). 15 menit dari Jembatan Merah Putih. 5). 30 menit dari Bandara Pattimura. Furnished : Semi Furnished (1 Spring Bed, 2 Lemari Pakaian, 1 Meja TV, 1 Kulkas 2 pintu, 1 Mesin Cuci, 1 AC, Indovision."
3,22/03/2021,https://www.olx.co.id/item/di-jual-rumah-tinggal-di-btn-indah-tual-iid-823279775,2100,"Tual, Maluku",875,220,3,3,0,0,1,1,2200,SHM,Di Jual Rumah Tinggal Di BTN Indah Tual,Sertifikat SHM ( Sertifikat Hak Milik ). Harga Rp 2.100.000.000/ Nego
4,17/03/2021,https://rumah.trovit.co.id/listing/rumah-belanda-sayap-riau-terawat-belitung-ambon-maluku-sayap-riau.HKz173s1h1i,12000,"Ambon, Maluku",360,300,5,2,0,0,3,0,,,"Rumah Belanda Sayap Riau Terawat, Belitung, Ambon, Maluku, Sayap Riau","Luas Tanah 360m Bangunan 300m Kamar Tidur 5 Mandi 2 SHM Carport 3 Harga 12M Contact STELLA - 081910555435 Discovery Property jual rumah di jln belitun , House"
5,17/03/2021,https://rumah.trovit.co.id/listing/dijual-rumah-potensi-pebisnis.7Cr1qNc1UF,1250,Maluku Tengah,120,542,3,2,0,0,0,0,,SHM,Dijual Rumah Potensi Pebisnis,"Jual Rumah 3Kamar, 2 kamar mandi
Spesifikasi :
LT 120 M2
LB 54 M2

Dinding double (bata merah)
Atap Rangka kayu
Pintu Panel
Kusen Meranti
Air sanyo, ada toren 1
Lengkap dengan listrik
Surat SHM ( sertifikat hak milik ) , mobil masuk
Akses
di Jl setia mekar
Dilalui Koasi 34

Nilai Lebih memiliki property ini :
Rumah (terdiri dari 1 ruang tamu, 3 kamar tidur, 2kamar mandi dalam, meja kompor , tempat cuci piring)
Dekat dengan Rumah sakit : Klinik, Alfamart, Rumah Sakit ,Pom Bensin, sekolah dan kantor kelurahan
Lokasi hunian akses komplek perumnas 3
Akses yang mudah
lokasi padat penduduk, bebas banjir, strategis dan sangat cocok untuk investasi bisnis"
6,14/03/2021,https://www.dotproperty.id/rumah-dijual-dengan-5-kamar-tidur-di-karang-panjang-maluku_6461182?utm_source=Trovit&utm_medium=CPC&utm_campaign=premium,15000,"Ambon, Maluku",500,255,5,4,0,0,0,6,4400,SHM,"Rumah dijual Cepat Tanpa Perantara-SHM, Karang Panjang","Rumah dijual dengan 5 kamar tidur di Karang Panjang, Maluku
Rumah dijual Cepat tanpa Perantara, lokasi dekat Kantor Pemerintahan. Sertifikat SHM. Cocok untuk bisnis, kantor, Hotel karena daratan tinggi-view ke laut. atau untuk rumah keluarga Besar. Jika minat boleh Hub (kosong delapan satu dua seratus triple satu enam empat) anytime.
LT : 500 M, LB : 255 M.

Ruangan Terdiri dari =

K.Tidur : 5, K.Mandi Kamar : 2, K.Mandi Luar : 3
Ruang Kerja 1 + Ruang Meeting 1 
Ruang Kemanan (security) : 1 + Kamar Mandi. (samping Garasi)
Ruang Terbuka : Ruang Tamu 1, Ruang Keluarga 1, Ruang Karaoke 
Taman =

Taman Depan ; Parkiran Muat 6 Mobil. Kebun , Kolam Ikan
Taman Samping Kiri : Ruang Terbuka Cuci baju dan Jemuran
Taman Samping Kanan : Tower Baja + Toren Air 2200 L
Taman Belakang : Ruangan Genset + Mesin Genset 4400 watt. Taman =

Taman Depan ; Parkiran Muat 6 Mobil. Kebun , Kolam Ikan
Taman Samping Kiri : Ruang Terbuka Cuci baju dan Jemuran
Taman Samping Kanan : Tower Baja + Toren Air 2200 L
Taman Belakang : Ruangan Genset + Mesin Genset 4400 watt
Komposisi Rumah =

Akses masuk Rumah Aspal Hot mix
Bangunan beton, Lantai Marmer, Atap baja ringan
PBB terakhir 2021 (aman)
Air PDAM, Listrik Token 4400 watt
Semi Furnished : Ac 4, bed set 5, Wastafel, Bath tube, Kitchen set, Lampu gantung, dan peraltan lainnya.
Akses Jalan =

Depan Kantor BNN
Dekat Gedung DPRD tingkat 1. 
Dekat rumah DINAS Walikota Ambon & Rumah Dinas WaGub Maluku & Dekat Kantor DPD GOLKAR & Rumah Dinas Ketua Kejati Ambon. 
Dekat Balai Pertemuan Pemerintahan (GD Siwa 5)
Dekat SMK Negri 1 Ambon
Samping Jalan Perumahan Bank Indonesia
2 km dari Kota Ambon. 
Sport Hall ( lapangan Bola, Lapangan Tenis)"
7,10/03/2021,https://www.99.co/id/properti/rumah-dijual-1-1mily-sirimau-jalan-730887949,1100,"Ambon, Maluku",134,250,3,2,0,0,0,0,2200,SHM,"Rumah Murah di karang panjang, Ambon Maluku","Dijual rumah Murah di Karang Panjang ambon Maluku Lokasi strtaegis di pusat kota ambon sangat dekat dengan pusat pemerintahan kota ambon bangunan 2 lantai
kamar tidur : 3
Kamar mandi : 2
Luas Tanah 134 Sangat dekat dengan pusat kota Ambon, perkantoran, sekolah, mal, Tempat ibadah dll 
Lokasi di lalui Angktan umum harga Nego"
8,08/03/2021,https://rumah.trovit.co.id/listing/rumah-dengan-halaman-luas.L8SSH1RX19,2000,Maluku Utara,4002,,7,4,0,0,2,0,,SHM,Rumah dengan Halaman Luas,"Rumah pribadi di huni sejak th 1990,akses jalan dari depan Gg pribadi bersurat.

Lokasi di jalur utama 2 dari Jl pangeran Antasari (jl. Pulau bacan), strategis dekat mau kemana aja, air lancar, lingkungan baik amat sangat bagus untuk rumah tinggal, dekat dengan masjid dan majelis, berpotensi bisa dikembangkan untuk membuat bedengan atau kontrakan,jauh dari banjir."
9,08/03/2021,https://rumah.trovit.co.id/listing/rumah-dijual-citraland-ambon-bay-view-city-angsuran-dp-10-jt-6x-dan-kpr-5-jt.1SzsRm1Lnb,667,"Ambon, Maluku",,,2,1,0,0,0,0,,,RUMAH DIJUAL: CitraLand Ambon (Bay View City) - Angsuran DP 10 Jt (6x) dan KPR 5 Jt,"5 menit ke PLN, Mal Ambon City Center, Rumah Sakit Hative, Plasa Telkom Passo dan SPBU Lateri
15 menit ke Bank Mandiri Kantor Cabang Universitas Pattimura, Pos Indonesia Rumah Tiga, Hotel SwissBell, Masjid Nurul Hidayah Latta, Sekolah Menengah Pertama 16 dan Sekolah Menengah Atas Siwalima
30 menit ke Gelanggang Olahraga Putra Bone, Ikindo, Kantor Kecamatan Leitimur Selatan, Imigrasi kelas 1, KPP Pratama Pattimura, Museum Siwalima dan Universitas Pattimura

Transportasi
5 km atau 15 menit ke Pelabuhan Ferry Galala
25 km atau 30 menit ke Bandara Internasional Pattimura"
10,08/03/2021,https://rumah.trovit.co.id/listing/perumahan-baru-cluster-griya-samara-kota-merauke.191V_61Y1t1118,422,"Ternate, Maluku Utara",,452,2,1,0,0,0,0,,,Perumahan Baru Cluster Griya Samara Kota Merauke,"Perumahan baru dengan konsep keamanan satu pintu (one gate system), memberikan suasana lingkungan yang nyaman dan asri dengan kemandirian komplek serta rumah berkualitas untuk mewujudkan impian dan investasi masa depan keluarga anda. Kami membangun dengan sepenuh hati. Lokasi strategis di dalam Kota Merauke,
~ 3 menit ke sekolah YAPIS
~ 4 menit ke sma N 2 Merauke
~ 7 menit ke spbu Noari
~ 8 menit ke sekolah alam kudus
~ 10 menit ke rsud/Bank Mandiri
~ 15 menit ke wisata lampu satu
terdapat 4 type 60/140 dan 6 type 45/120 serta 2 type 55/130.
Ini bukan perumahan BTN tapi perumahan Pribadi, karena kualitas bangunan sangat diutamakan...harga mulai 422 jt, DP min 15%...hayoo..investasi rumah buat masa depan.."
